id,label,softwaretype,con_medicine,con_biochemistry_genetics_and_molecular_biology,con_agricultural_and_biological_sciences,con_neuroscience,con_computer_science,con_mathematics,con_environmental_science,con_immunology_and_microbiology,con_pharmacology_toxicology_and_pharmaceutics,con_chemistry,con_physics_and_astronomy,con_social_sciences,con_NA,con_veterinary,con_health_professions,con_chemical_engineering,con_engineering,con_nursing,con_materials_science,con_multidisciplinary,con_psychology,mt_usage,mt_mention,mt_deposition,mt_creation,community_no,degree_in,degree_out,betweenness
<https://www.wikidata.org/wiki/Q2407>,C++,ProgrammingEnvironment,1,15,11,9,13,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,3,28.58023147547939,3.2000000000000033,15693
<http://www.ebi.ac.uk/thornton-srv/software/PoreWalker>,PoreWalker,Application,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0.2857142857142857,2,0
<https://www.wikidata.org/wiki/Q2370>,C#,ProgrammingEnvironment,1,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,3,4.63184727985487,3.5,0
<http://compbio.clemson.edu/DelPhi.php>,DelPhi,Application,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0.7549628547071001,5,0
<https://www.wikidata.org/wiki/Q83303>,Fortran,ProgrammingEnvironment,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1.7311533308975762,3.5,0
<http://doi.org/10.1371/journal.pone.0078786>,ReMIT Client,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,4.20952380952381,6,0
<https://github.com/dcm4che/dcm4chee-arc-light/>,dcm4chee,PlugIn,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4.20952380952381,6,0
<https://www.dcm4che.org/>,dcm4che,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4.20952380952381,6,0
<https://www.wikidata.org/wiki/Q1301762>,OsiriX,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4.20952380952381,6,0
<https://www.wikidata.org/wiki/Q188531>,Objective-C,ProgrammingEnvironment,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4.20952380952381,6,0
<http://www.cse.lehigh.edu/~chen/software.htm>,VASP-E,Application,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0.7683473389355742,4,0
<https://www.wikidata.org/wiki/Q178940>,gcc,Application,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,3.3882961880404334,4.5,0
<http://bioinfo.noble.org/PolyGenic_QTL>,PEPIS,Application,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0.2095238095238095,2,0
<http://www.binarybottle.com/mindboggle.html>,Mindboggle,Application,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0.45384240652782853,5,0
<https://mathworks.com/products/image.html>,Image Processing Toolbox,PlugIn,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,2.337315795883571,3,0
<https://www.wikidata.org/wiki/Q169478>,MATLAB,ProgrammingEnvironment,103,117,117,17,9,8,8,7,0,0,0,0,0,0,0,0,1,0,0,0,0,113,11,0,0,2,90.83294040806186,1.487394957983191,142650
<http://coxpress.sf.net/>,coXpress,PlugIn,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,5.579380139152435,9,0
<https://bioconductor.org/packages/hgu95av2>,hgu95av2,PlugIn,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5.579380139152435,9,0
<https://bioconductor.org/packages/hu6800.db>,hu6800,PlugIn,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5.579380139152435,9,0
<https://cran.r-project.org/package=gdata>,gdata,PlugIn,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5.579380139152435,9,0
<https://cran.r-project.org/package=gplots>,gplots,PlugIn,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,12.671452351681976,12,0
<https://cran.r-project.org/package=gtools>,gtools,PlugIn,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5.579380139152435,9,0
<https://cran.r-project.org/package=plotrix>,plotrix,PlugIn,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5.579380139152435,9,0
<https://www.wikidata.org/wiki/Q206904>,R,ProgrammingEnvironment,78,88,76,4,7,7,4,2,3,2,2,0,0,1,1,0,0,0,0,0,0,88,8,0,0,1,207.35242550184105,3.5698924731182773,286401
<http://webs.uvigo.es/acraaj/GenomePop.htm>,GenomePop,Application,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0.17877237851662403,4,0
<https://www.wikidata.org/wiki/Q28865>,Python,ProgrammingEnvironment,9,25,20,12,14,13,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,20,8,0,0,8,67.53729823963728,4.192307692307687,59202.5
<https://sourceforge.net/projects/andestools>,ANDES,Application,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0.21243336044095054,3,0
<https://github.com/krm15/ACME>,ACME,Application,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.11210571184995735,3,0
<https://github.com/Chaste/Chaste>,Chaste,PlugIn,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0.5121057118499573,5,0
<https://www.wikidata.org/wiki/Q11393>,VirtualBox,Application,0,3,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,8,12.266448143611743,6.999999999999997,775
<http://code.google.com/p/biographer>,biographer,Application,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0.06862745098039215,2,0
<http://www.cellxpress.org/>,cellXpress,Application,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0.06862745098039215,2,0
<http://www.baseclear.com/bioinformatics-tools>,SSPACE-LongRead,Application,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1.2683473389355742,4,0
<https://github.com/PacificBiosciences/blasr>,BLASR,PlugIn,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1.2683473389355742,4,0
<http://pep2path.sourceforge.net/>,Pep2Path,Application,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0.15056725031149581,4,0
<http://pathomx.org/>,Pathomx,Application,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2.1505672503114956,7,0
<https://github.com/wmayner/pyphi>,PyPhi,Application,0,2,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,2.765951865696111,4.5,0
<https://www.wikidata.org/wiki/Q201904>,Qt,Application,0,2,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,4.7659518656961115,5.5,0
<https://www.wikidata.org/wiki/Q381>,Ubuntu,OperatingSystem,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2.1505672503114956,7,0
<http://phagocytes.ca/miisr>,Molecular Interactions in Super-Resolution,Application,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2.120509073194495,6,0
<http://www.phagocytes.ca/miisr>,MIiSR,Application,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2.120509073194495,6,0
<https://code.google.com/archive/p/quickpalm>,QuickPALM,Application,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2.120509073194495,6,0
<https://github.com/BrainDynamicsUSYD/nftsim>,NFTsim,Application,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2.1254901960784314,4,0
<https://www.wikidata.org/wiki/Q16691>,OpenSUSE,OperatingSystem,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2.1254901960784314,4,0
<https://www.wikidata.org/wiki/Q215273>,RHEL,OperatingSystem,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2.1254901960784314,4,0
<https://github.com/mlbendall/telescope>,Telescope,Application,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0.14076332874286837,3,0
<https://www.wikidata.org/wiki/Q286820>,BLAST,Application,20,22,22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,4,55.665892093813866,4.727272727272731,36442
<http://comp-bio.anu.edu.au/bellerophon/bellerophon.pl>,Bellerpheron,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4.954978354978355,10,0
<http://pyrotagger.jgi-psf.org/>,PyroTagger,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4.954978354978355,10,0
<http://rdp.cme.msu.edu/>,RDP Classifier,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4.954978354978355,10,0
<http://www.purl.oclc.org/estimates>,EstimateS,Application,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,6.826842154261508,7,0
<http://www.ub.edu/dnasp>,DNAsp,Application,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,17.31492565405609,17,0
<https://www.wikidata.org/wiki/Q5531616>,Geneious,Application,1,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,13.87682178932179,8.999999999999998,0
<https://www.wikidata.org/wiki/Q6715328>,MEGA,Application,9,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,44.36282631233343,8.599999999999994,21786
<https://www.wikidata.org/wiki/Q6719088>,MUSCLE,Application,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,10.823797879335855,6.999999999999997,0
<https://www.wildblueberrymedia.net/pcord>,PCORD,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4.954978354978354,10,0
<https://www.wikidata.org/wiki/Q21850561>,TopHat,Application,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,14,15.820276497695854,10,7
<https://github.com/lh3/bwa>,BWA-MEM,Application,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,11,17.42388632872504,12.5,0
<http://bioinf.wehi.edu.au/software/goseq>,GOseq,PlugIn,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,14,7.153609831029186,10,0
<http://kobas.cbi.pku.edu.cn/>,KOBAS,Application,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,14,7.153609831029186,10,0
<http://liulab.dfci.harvard.edu/MACS>,MACS,Application,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,14,7.153609831029186,10,0
<http://meme.sdsc.edu/>,FIMO,Application,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,14,7.153609831029186,10,0
<https://bioconductor.org/packages/DESeq>,DESeq,PlugIn,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,14,7.153609831029186,10,0
<https://github.com/htseq/htseq>,HTSeq,Application,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,14,7.153609831029186,10,0
<https://sourceforge.net/projects/skewer>,skewer,Application,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,14,7.153609831029186,10,0
<https://pstnet.com/products/e-prime>,E-Prime,Application,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,2.769338368258696,1.9999999999999998,1586
<https://mathworks.com/products/image-acquisition.html>,Image Acquisition Toolbox,PlugIn,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0.34173669467787116,2,0
<http://www.abcc.ncifcrf.gov/wps/wps_index.php>,WholePathwayScope,Application,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0.3431372549019608,2,0
<https://www.wikidata.org/wiki/Q1204300>,Stata,Application,226,221,211,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,225,2,0,0,7,31.183972894473033,0.3656387665198235,106535
<https://www.wikidata.org/wiki/Q2003932>,SAS,Application,120,120,118,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,122,0,0,0,7,19.215406113392582,0.5081967213114756,50167
<https://www.wikidata.org/wiki/Q181596>,SPSS,Application,389,381,379,4,1,1,1,2,3,0,0,1,2,0,0,0,0,0,0,1,0,390,5,0,0,6,117.45204112019458,0.8506329113924072,163275
<https://www.wikidata.org/wiki/Q513297>,ArcGIS,Application,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,7,10.666320028738422,2.2222222222222228,7514
<https://www.wikidata.org/wiki/Q1659584>,ImageJ,Application,14,14,13,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,18,2,0,0,5,30.583751363196324,3.5555555555555505,5201
<https://www.wikidata.org/wiki/Q1355082>,Prism,Application,41,37,31,2,0,0,0,2,5,2,2,2,1,0,0,0,0,1,0,1,0,48,1,0,0,5,70.89229286580328,2.687500000000002,78999
<http://bio.informatics.iupui.edu/proteolens>,ProteoLens,Application,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,1.5686274509803921,4,0
<https://www.wikidata.org/wiki/Q1504505>,Java JRE,Application,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,6.170929241261722,5,0
<https://www.wikidata.org/wiki/Q193321>,Java Virtual Machine,Application,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1.5686274509803921,4,0
<https://www.wikidata.org/wiki/Q106381184>,RevMan,Application,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1.0356902629653784,1.9999999999999998,0
<https://www.wikidata.org/wiki/Q41566485>,SPM,Application,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,2,24.073779936596797,2.7499999999999987,20697
<https://www.wikidata.org/wiki/Q7512231>,SigmaStat,Application,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,11.234467740165561,6.666666666666664,0
<https://www.wikidata.org/wiki/Q1788435>,Statistica,Application,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,5.611154706541799,1.4000000000000001,6328
<http://www.adept.net.au/software/mediacy/ImagePro/scopePro.shtml>,Scope-Pro,Application,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,2.0338204847156254,7,0
<https://www.mediacy.com/imageproplus>,Image-Pro Plus,Application,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,8.423841847209422,6.333333333333331,0
<https://www.statistix.com/>,Satistix,Application,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,2.0338204847156254,7,0
<https://www.wikidata.org/wiki/Q129793>,Photoshop,Application,4,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,5,13.707143200898873,5.000000000000002,6314
<https://www.wikidata.org/wiki/Q4049465>,SigmaPlot,Application,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,10,11.615420121117943,2.8571428571428563,0
<https://cran.r-project.org/package=Amelia>,AmeliaView,PlugIn,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0.1526610644257703,2,0
<https://www.statmodel.com/>,Mplus,Application,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,1.0243357901907209,1,0
<http://fcsb.njau.edu.cn/microsyn>,MicroSyn,Application,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0.25980392156862747,2,0
<https://www.chem.gla.ac.uk/~louis/software/ortep>,ORTEP,Application,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,17,10.009803921568627,6,5232.5
<https://www.platonsoft.nl/platon>,PLATON,Application,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,17,2.0098039215686274,4,0
<https://www.rigaku.com/downloads/software/crystalclear>,CrystalClear,Application,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,17,2.0098039215686274,4,0
<https://www.wikidata.org/wiki/Q51715613>,SHELXTL,Application,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,17,10.009803921568627,6,5785.5
<https://www.wikidata.org/wiki/Q2601695>,Epi Info,Application,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,7,0.4141310672302254,1.5,0
<https://www.wikidata.org/wiki/Q18215965>,Psychtoolbox,PlugIn,11,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,9.616107945654871,2.3333333333333335,1939
<https://www.wikidata.org/wiki/Q5652128>,Haploview,Application,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,5.442286567546578,5.5,0
<https://www.wikidata.org/wiki/Q80689>,Access,Application,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,1.0031237642010467,2,0
<https://kimura.univ-montp2.fr/%7Erousset/Genepop.htm>,GENEPOP,Application,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,40.30561619954931,16.5,7870
<https://www.ibm.com/products/structural-equation-modeling-sem>,AMOS,Application,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0.024993794986348968,0.875,0
<https://www.luminexcorp.com/luminex-100200>,Luminex 100 â„¢ IS,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0.012335567138247704,2,0
<https://sourceforge.net/projects/ihcprofiler>,IHC profiler,PlugIn,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,0.065359477124183,2,0
<http://www4a.biotec.or.th/GI/tools/metasel>,MetaSel,Application,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0.25980392156862747,2,0
<http://www.iop.kcl.ac.uk/IoP/Departments/PsychMed/GEpiBSt/software.stm>,GENECOUNTING,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,4.762335567138248,8,0
<https://agenabio.com/products/massarray-system>,MassARRAY Assay Design,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,4.762335567138248,8,0
<https://dceg.cancer.gov/tools/design/pga>,PGA,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,4.762335567138248,8,0
<https://gaow.github.io/genetic-analysis-software/1/2ld>,2LD,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,4.762335567138248,8,0
<https://gaow.github.io/genetic-analysis-software/c/clump>,CLUMP,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,4.762335567138248,8,0
<http://www.die.upm.es/im/archives/DCEurLAB>,DCE@urLAB,Application,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2.0098039215686274,3,0
<https://www.ittvis.com/idl>,IDL,ProgrammingEnvironment,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,2.0098039215686274,3,0
<https://www.ittvis.com/idlvm>,IDL Virtual Machine,Application,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2.0098039215686274,3,0
<https://www.wikidata.org/wiki/Q3376999>,LISREL,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0.012335567138247704,2,0
<https://www.microsoft.com/download/details.aspx?id=21>,NET,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1.3762450389585115,7,0
<https://www.wikidata.org/wiki/Q134067>,Visual Studio,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1.3762450389585115,7,0
<http://data.gesis.org/somesci/HGF_01>,HGF,PlugIn,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1.1457389284827855,6,0
<https://github.com/translationalneuromodeling/tapas>,TAPAS,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1.1457389284827855,6,0
<https://cran.r-project.org/package=h2o>,H2O R interface,PlugIn,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2.0205566097406704,4,0
<https://cran.r-project.org/package=pROC>,pROC,PlugIn,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2.0205566097406704,4,0
<https://github.com/h2oai/h2o-3/tree/master/h2o-r/ensemble>,h2oEnsemble,PlugIn,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2.0205566097406704,4,0
<http://fim.uni-muenster.de/>,FIMTrack,Application,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0.05328218243819266,2,0
<https://github.com/MathCancer/PhysiCell>,PhysiCell,Application,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1.6199488491048593,5,0
<https://www.wikidata.org/wiki/Q595758>,MinGW-w64,Application,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1.6199488491048593,5,0
<http://data.gesis.org/somesci/IMAGELAB_01>,Imagelab,Application,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0.012335567138247704,2,0
