source,target,n,p,p_source,p_target,p_cond,weight
<https://www.wikidata.org/wiki/Q388>,<https://droog.gs.washington.edu/polyphred>,1,8.216926869350862e-4,0.013968775677896467,8.216926869350862e-4,0.0588235294117647,0.0588235294117647
<https://www.wikidata.org/wiki/Q42478>,<https://droog.gs.washington.edu/polyphred>,1,8.216926869350862e-4,0.005751848808545604,8.216926869350862e-4,0.14285714285714285,0.14285714285714285
<http://lpg.nci.nih.gov/>,<https://www.wikidata.org/wiki/Q11368>,1,8.216926869350862e-4,8.216926869350862e-4,0.0024650780608052587,1,1
<http://novosnp.bioinf.be/>,<https://www.wikidata.org/wiki/Q11368>,1,8.216926869350862e-4,8.216926869350862e-4,0.0024650780608052587,1,1
<https://droog.gs.washington.edu/polyphred>,<https://www.wikidata.org/wiki/Q11368>,1,8.216926869350862e-4,8.216926869350862e-4,0.0024650780608052587,1,1
<https://www.wikidata.org/wiki/Q15777>,<https://www.wikidata.org/wiki/Q11368>,1,8.216926869350862e-4,0.005751848808545604,0.0024650780608052587,0.14285714285714285,0.14285714285714285
<https://www.wikidata.org/wiki/Q388>,<https://www.wikidata.org/wiki/Q11368>,1,8.216926869350862e-4,0.013968775677896467,0.0024650780608052587,0.0588235294117647,0.0588235294117647
<https://www.wikidata.org/wiki/Q42478>,<https://www.wikidata.org/wiki/Q11368>,2,0.0016433853738701725,0.005751848808545604,0.0024650780608052587,0.2857142857142857,0.2857142857142857
<http://bio.ifom-firc.it/NTFootPrinter>,<https://www.wikidata.org/wiki/Q11368>,1,8.216926869350862e-4,8.216926869350862e-4,0.0024650780608052587,1,1
<https://www.wikidata.org/wiki/Q251>,<https://www.wikidata.org/wiki/Q11368>,1,8.216926869350862e-4,0.013968775677896467,0.0024650780608052587,0.0588235294117647,0.0588235294117647
<https://www.wikidata.org/wiki/Q47607>,<https://www.wikidata.org/wiki/Q11368>,1,8.216926869350862e-4,0.0016433853738701725,0.0024650780608052587,0.5,0.5
<https://www.wikidata.org/wiki/Q11272>,<https://www.wikidata.org/wiki/Q11368>,1,8.216926869350862e-4,0.056696795398520954,0.0024650780608052587,0.014492753623188404,0.014492753623188404
<http://lpg.nci.nih.gov/>,<https://www.wikidata.org/wiki/Q15777>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<http://novosnp.bioinf.be/>,<https://www.wikidata.org/wiki/Q15777>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<https://droog.gs.washington.edu/polyphred>,<https://www.wikidata.org/wiki/Q15777>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<https://www.wikidata.org/wiki/Q11368>,<https://www.wikidata.org/wiki/Q15777>,1,8.216926869350862e-4,0.0024650780608052587,0.005751848808545604,0.3333333333333333,0.3333333333333333
<https://www.wikidata.org/wiki/Q388>,<https://www.wikidata.org/wiki/Q15777>,3,0.0024650780608052587,0.013968775677896467,0.005751848808545604,0.1764705882352941,0.1764705882352941
<https://www.wikidata.org/wiki/Q42478>,<https://www.wikidata.org/wiki/Q15777>,2,0.0016433853738701725,0.005751848808545604,0.005751848808545604,0.2857142857142857,0.2857142857142857
<https://www.wikidata.org/wiki/Q1406>,<https://www.wikidata.org/wiki/Q15777>,2,0.0016433853738701725,0.0838126540673788,0.005751848808545604,0.0196078431372549,0.0196078431372549
<https://www.wikidata.org/wiki/Q14116>,<https://www.wikidata.org/wiki/Q15777>,1,8.216926869350862e-4,0.018898931799506986,0.005751848808545604,0.04347826086956521,0.04347826086956521
<https://www.wikidata.org/wiki/Q2378>,<https://www.wikidata.org/wiki/Q15777>,1,8.216926869350862e-4,0.0024650780608052587,0.005751848808545604,0.3333333333333333,0.3333333333333333
<https://www.wikidata.org/wiki/Q2407>,<https://www.wikidata.org/wiki/Q15777>,3,0.0024650780608052587,0.012325390304026294,0.005751848808545604,0.19999999999999998,0.19999999999999998
<http://www.ebi.ac.uk/thornton-srv/software/PoreWalker>,<https://www.wikidata.org/wiki/Q15777>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<https://www.wikidata.org/wiki/Q2370>,<https://www.wikidata.org/wiki/Q15777>,1,8.216926869350862e-4,0.003286770747740345,0.005751848808545604,0.25,0.25
<http://compbio.clemson.edu/DelPhi.php>,<https://www.wikidata.org/wiki/Q15777>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<https://www.wikidata.org/wiki/Q83303>,<https://www.wikidata.org/wiki/Q15777>,1,8.216926869350862e-4,0.0016433853738701725,0.005751848808545604,0.5,0.5
<http://doi.org/10.1371/journal.pone.0078786>,<https://www.wikidata.org/wiki/Q15777>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<https://github.com/dcm4che/dcm4chee-arc-light/>,<https://www.wikidata.org/wiki/Q15777>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<https://www.dcm4che.org/>,<https://www.wikidata.org/wiki/Q15777>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<https://www.wikidata.org/wiki/Q1301762>,<https://www.wikidata.org/wiki/Q15777>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<https://www.wikidata.org/wiki/Q188531>,<https://www.wikidata.org/wiki/Q15777>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<http://www.cse.lehigh.edu/~chen/software.htm>,<https://www.wikidata.org/wiki/Q15777>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<https://www.wikidata.org/wiki/Q178940>,<https://www.wikidata.org/wiki/Q15777>,1,8.216926869350862e-4,0.0016433853738701725,0.005751848808545604,0.5,0.5
<http://bioinfo.noble.org/PolyGenic_QTL>,<https://www.wikidata.org/wiki/Q15777>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<http://lpg.nci.nih.gov/>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,8.216926869350862e-4,0.013968775677896467,1,1
<http://novosnp.bioinf.be/>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,8.216926869350862e-4,0.013968775677896467,1,1
<https://droog.gs.washington.edu/polyphred>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,8.216926869350862e-4,0.013968775677896467,1,1
<https://www.wikidata.org/wiki/Q11368>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,0.0024650780608052587,0.013968775677896467,0.3333333333333333,0.3333333333333333
<https://www.wikidata.org/wiki/Q15777>,<https://www.wikidata.org/wiki/Q388>,3,0.0024650780608052587,0.005751848808545604,0.013968775677896467,0.42857142857142855,0.42857142857142855
<https://www.wikidata.org/wiki/Q42478>,<https://www.wikidata.org/wiki/Q388>,3,0.0024650780608052587,0.005751848808545604,0.013968775677896467,0.42857142857142855,0.42857142857142855
<http://www.binarybottle.com/mindboggle.html>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,8.216926869350862e-4,0.013968775677896467,1,1
<https://mathworks.com/products/image.html>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,0.0024650780608052587,0.013968775677896467,0.3333333333333333,0.3333333333333333
<https://www.wikidata.org/wiki/Q1406>,<https://www.wikidata.org/wiki/Q388>,11,0.009038619556285949,0.0838126540673788,0.013968775677896467,0.10784313725490197,0.10784313725490197
<https://www.wikidata.org/wiki/Q14116>,<https://www.wikidata.org/wiki/Q388>,9,0.007395234182415777,0.018898931799506986,0.013968775677896467,0.3913043478260869,0.3913043478260869
<https://www.wikidata.org/wiki/Q169478>,<https://www.wikidata.org/wiki/Q388>,2,0.0016433853738701725,0.09778142974527526,0.013968775677896467,0.01680672268907563,0.01680672268907563
<http://coxpress.sf.net/>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,8.216926869350862e-4,0.013968775677896467,1,1
<https://bioconductor.org/packages/hgu95av2>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,8.216926869350862e-4,0.013968775677896467,1,1
<https://bioconductor.org/packages/hu6800.db>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,8.216926869350862e-4,0.013968775677896467,1,1
<https://cran.r-project.org/package=gdata>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,8.216926869350862e-4,0.013968775677896467,1,1
<https://cran.r-project.org/package=gplots>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,0.0016433853738701725,0.013968775677896467,0.5,0.5
<https://cran.r-project.org/package=gtools>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,8.216926869350862e-4,0.013968775677896467,1,1
<https://cran.r-project.org/package=plotrix>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,8.216926869350862e-4,0.013968775677896467,1,1
<https://www.wikidata.org/wiki/Q206904>,<https://www.wikidata.org/wiki/Q388>,2,0.0016433853738701725,0.07641741988496302,0.013968775677896467,0.021505376344086023,0.021505376344086023
<http://webs.uvigo.es/acraaj/GenomePop.htm>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,8.216926869350862e-4,0.013968775677896467,1,1
<https://www.wikidata.org/wiki/Q2407>,<https://www.wikidata.org/wiki/Q388>,5,0.004108463434675432,0.012325390304026294,0.013968775677896467,0.33333333333333337,0.33333333333333337
<https://www.wikidata.org/wiki/Q28865>,<https://www.wikidata.org/wiki/Q388>,3,0.0024650780608052587,0.021364009860312245,0.013968775677896467,0.11538461538461538,0.11538461538461538
<https://sourceforge.net/projects/andestools>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,8.216926869350862e-4,0.013968775677896467,1,1
<http://compbio.clemson.edu/DelPhi.php>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,8.216926869350862e-4,0.013968775677896467,1,1
<https://www.wikidata.org/wiki/Q83303>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,0.0016433853738701725,0.013968775677896467,0.5,0.5
<https://github.com/krm15/ACME>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,8.216926869350862e-4,0.013968775677896467,1,1
<https://github.com/Chaste/Chaste>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,8.216926869350862e-4,0.013968775677896467,1,1
<https://www.wikidata.org/wiki/Q11393>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,0.0024650780608052587,0.013968775677896467,0.3333333333333333,0.3333333333333333
<http://code.google.com/p/biographer>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,8.216926869350862e-4,0.013968775677896467,1,1
<http://www.cellxpress.org/>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,8.216926869350862e-4,0.013968775677896467,1,1
<http://www.baseclear.com/bioinformatics-tools>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,8.216926869350862e-4,0.013968775677896467,1,1
<https://github.com/PacificBiosciences/blasr>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,8.216926869350862e-4,0.013968775677896467,1,1
<http://www.cse.lehigh.edu/~chen/software.htm>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,8.216926869350862e-4,0.013968775677896467,1,1
<https://www.wikidata.org/wiki/Q178940>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,0.0016433853738701725,0.013968775677896467,0.5,0.5
<http://pep2path.sourceforge.net/>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,8.216926869350862e-4,0.013968775677896467,1,1
<http://pathomx.org/>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,8.216926869350862e-4,0.013968775677896467,1,1
<https://github.com/wmayner/pyphi>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,0.0016433853738701725,0.013968775677896467,0.5,0.5
<https://www.wikidata.org/wiki/Q201904>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,0.0016433853738701725,0.013968775677896467,0.5,0.5
<https://www.wikidata.org/wiki/Q381>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,8.216926869350862e-4,0.013968775677896467,1,1
<http://phagocytes.ca/miisr>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,8.216926869350862e-4,0.013968775677896467,1,1
<http://www.phagocytes.ca/miisr>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,8.216926869350862e-4,0.013968775677896467,1,1
<https://code.google.com/archive/p/quickpalm>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,8.216926869350862e-4,0.013968775677896467,1,1
<https://github.com/BrainDynamicsUSYD/nftsim>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,8.216926869350862e-4,0.013968775677896467,1,1
<https://www.wikidata.org/wiki/Q16691>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,8.216926869350862e-4,0.013968775677896467,1,1
<https://www.wikidata.org/wiki/Q215273>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,8.216926869350862e-4,0.013968775677896467,1,1
<https://github.com/mlbendall/telescope>,<https://www.wikidata.org/wiki/Q388>,1,8.216926869350862e-4,8.216926869350862e-4,0.013968775677896467,1,1
<http://lpg.nci.nih.gov/>,<https://www.wikidata.org/wiki/Q42478>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<http://novosnp.bioinf.be/>,<https://www.wikidata.org/wiki/Q42478>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<https://droog.gs.washington.edu/polyphred>,<https://www.wikidata.org/wiki/Q42478>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<https://www.wikidata.org/wiki/Q11368>,<https://www.wikidata.org/wiki/Q42478>,2,0.0016433853738701725,0.0024650780608052587,0.005751848808545604,0.6666666666666666,0.6666666666666666
<https://www.wikidata.org/wiki/Q15777>,<https://www.wikidata.org/wiki/Q42478>,2,0.0016433853738701725,0.005751848808545604,0.005751848808545604,0.2857142857142857,0.2857142857142857
<https://www.wikidata.org/wiki/Q388>,<https://www.wikidata.org/wiki/Q42478>,3,0.0024650780608052587,0.013968775677896467,0.005751848808545604,0.1764705882352941,0.1764705882352941
<https://www.wikidata.org/wiki/Q206904>,<https://www.wikidata.org/wiki/Q42478>,2,0.0016433853738701725,0.07641741988496302,0.005751848808545604,0.021505376344086023,0.021505376344086023
<http://bio.ifom-firc.it/NTFootPrinter>,<https://www.wikidata.org/wiki/Q42478>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<https://www.wikidata.org/wiki/Q251>,<https://www.wikidata.org/wiki/Q42478>,1,8.216926869350862e-4,0.013968775677896467,0.005751848808545604,0.0588235294117647,0.0588235294117647
<https://www.wikidata.org/wiki/Q47607>,<https://www.wikidata.org/wiki/Q42478>,1,8.216926869350862e-4,0.0016433853738701725,0.005751848808545604,0.5,0.5
<https://www.wikidata.org/wiki/Q2407>,<https://www.wikidata.org/wiki/Q42478>,1,8.216926869350862e-4,0.012325390304026294,0.005751848808545604,0.06666666666666667,0.06666666666666667
<https://www.wikidata.org/wiki/Q286820>,<https://www.wikidata.org/wiki/Q42478>,1,8.216926869350862e-4,0.018077239112571898,0.005751848808545604,0.045454545454545456,0.045454545454545456
<http://www.ebi.ac.uk/thornton-srv/software/PoreWalker>,<https://www.wikidata.org/wiki/Q42478>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<https://sourceforge.net/projects/andestools>,<https://www.wikidata.org/wiki/Q42478>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<http://comp-bio.anu.edu.au/bellerophon/bellerophon.pl>,<https://www.wikidata.org/wiki/Q42478>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<http://pyrotagger.jgi-psf.org/>,<https://www.wikidata.org/wiki/Q42478>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<http://rdp.cme.msu.edu/>,<https://www.wikidata.org/wiki/Q42478>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<http://www.purl.oclc.org/estimates>,<https://www.wikidata.org/wiki/Q42478>,1,8.216926869350862e-4,0.0016433853738701725,0.005751848808545604,0.5,0.5
<http://www.ub.edu/dnasp>,<https://www.wikidata.org/wiki/Q42478>,1,8.216926869350862e-4,0.0016433853738701725,0.005751848808545604,0.5,0.5
<https://www.wikidata.org/wiki/Q5531616>,<https://www.wikidata.org/wiki/Q42478>,1,8.216926869350862e-4,0.0024650780608052587,0.005751848808545604,0.3333333333333333,0.3333333333333333
<https://www.wikidata.org/wiki/Q6715328>,<https://www.wikidata.org/wiki/Q42478>,1,8.216926869350862e-4,0.008216926869350863,0.005751848808545604,0.09999999999999999,0.09999999999999999
<https://www.wikidata.org/wiki/Q6719088>,<https://www.wikidata.org/wiki/Q42478>,1,8.216926869350862e-4,0.0024650780608052587,0.005751848808545604,0.3333333333333333,0.3333333333333333
<https://www.wildblueberrymedia.net/pcord>,<https://www.wikidata.org/wiki/Q42478>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<http://www.baseclear.com/bioinformatics-tools>,<https://www.wikidata.org/wiki/Q42478>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<https://github.com/PacificBiosciences/blasr>,<https://www.wikidata.org/wiki/Q42478>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<https://www.wikidata.org/wiki/Q21850561>,<https://www.wikidata.org/wiki/Q42478>,1,8.216926869350862e-4,0.0016433853738701725,0.005751848808545604,0.5,0.5
<https://github.com/lh3/bwa>,<https://www.wikidata.org/wiki/Q42478>,1,8.216926869350862e-4,0.0016433853738701725,0.005751848808545604,0.5,0.5
<http://bioinf.wehi.edu.au/software/goseq>,<https://www.wikidata.org/wiki/Q42478>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<http://kobas.cbi.pku.edu.cn/>,<https://www.wikidata.org/wiki/Q42478>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<http://liulab.dfci.harvard.edu/MACS>,<https://www.wikidata.org/wiki/Q42478>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<http://meme.sdsc.edu/>,<https://www.wikidata.org/wiki/Q42478>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<https://bioconductor.org/packages/DESeq>,<https://www.wikidata.org/wiki/Q42478>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<https://github.com/htseq/htseq>,<https://www.wikidata.org/wiki/Q42478>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<https://sourceforge.net/projects/skewer>,<https://www.wikidata.org/wiki/Q42478>,1,8.216926869350862e-4,8.216926869350862e-4,0.005751848808545604,1,1
<https://www.wikidata.org/wiki/Q388>,<http://www.binarybottle.com/mindboggle.html>,1,8.216926869350862e-4,0.013968775677896467,8.216926869350862e-4,0.0588235294117647,0.0588235294117647
<https://mathworks.com/products/image.html>,<http://www.binarybottle.com/mindboggle.html>,1,8.216926869350862e-4,0.0024650780608052587,8.216926869350862e-4,0.3333333333333333,0.3333333333333333
<https://www.wikidata.org/wiki/Q1406>,<http://www.binarybottle.com/mindboggle.html>,1,8.216926869350862e-4,0.0838126540673788,8.216926869350862e-4,0.00980392156862745,0.00980392156862745
<https://www.wikidata.org/wiki/Q14116>,<http://www.binarybottle.com/mindboggle.html>,1,8.216926869350862e-4,0.018898931799506986,8.216926869350862e-4,0.04347826086956521,0.04347826086956521
<https://www.wikidata.org/wiki/Q169478>,<http://www.binarybottle.com/mindboggle.html>,1,8.216926869350862e-4,0.09778142974527526,8.216926869350862e-4,0.008403361344537815,0.008403361344537815
<https://www.wikidata.org/wiki/Q388>,<https://mathworks.com/products/image.html>,1,8.216926869350862e-4,0.013968775677896467,0.0024650780608052587,0.0588235294117647,0.0588235294117647
<http://www.binarybottle.com/mindboggle.html>,<https://mathworks.com/products/image.html>,1,8.216926869350862e-4,8.216926869350862e-4,0.0024650780608052587,1,1
<https://www.wikidata.org/wiki/Q1406>,<https://mathworks.com/products/image.html>,1,8.216926869350862e-4,0.0838126540673788,0.0024650780608052587,0.00980392156862745,0.00980392156862745
<https://www.wikidata.org/wiki/Q14116>,<https://mathworks.com/products/image.html>,1,8.216926869350862e-4,0.018898931799506986,0.0024650780608052587,0.04347826086956521,0.04347826086956521
<https://www.wikidata.org/wiki/Q169478>,<https://mathworks.com/products/image.html>,3,0.0024650780608052587,0.09778142974527526,0.0024650780608052587,0.025210084033613446,0.025210084033613446
<https://pstnet.com/products/e-prime>,<https://mathworks.com/products/image.html>,1,8.216926869350862e-4,0.004108463434675432,0.0024650780608052587,0.19999999999999998,0.19999999999999998
<https://mathworks.com/products/image-acquisition.html>,<https://mathworks.com/products/image.html>,1,8.216926869350862e-4,8.216926869350862e-4,0.0024650780608052587,1,1
<https://www.wikidata.org/wiki/Q15777>,<https://www.wikidata.org/wiki/Q1406>,2,0.0016433853738701725,0.005751848808545604,0.0838126540673788,0.2857142857142857,0.2857142857142857
<https://www.wikidata.org/wiki/Q388>,<https://www.wikidata.org/wiki/Q1406>,11,0.009038619556285949,0.013968775677896467,0.0838126540673788,0.6470588235294117,0.6470588235294117
<http://www.binarybottle.com/mindboggle.html>,<https://www.wikidata.org/wiki/Q1406>,1,8.216926869350862e-4,8.216926869350862e-4,0.0838126540673788,1,1
<https://mathworks.com/products/image.html>,<https://www.wikidata.org/wiki/Q1406>,1,8.216926869350862e-4,0.0024650780608052587,0.0838126540673788,0.3333333333333333,0.3333333333333333
<https://www.wikidata.org/wiki/Q14116>,<https://www.wikidata.org/wiki/Q1406>,11,0.009038619556285949,0.018898931799506986,0.0838126540673788,0.47826086956521735,0.47826086956521735
<https://www.wikidata.org/wiki/Q169478>,<https://www.wikidata.org/wiki/Q1406>,4,0.003286770747740345,0.09778142974527526,0.0838126540673788,0.03361344537815126,0.03361344537815126
<http://www.abcc.ncifcrf.gov/wps/wps_index.php>,<https://www.wikidata.org/wiki/Q1406>,1,8.216926869350862e-4,8.216926869350862e-4,0.0838126540673788,1,1
<https://www.wikidata.org/wiki/Q2378>,<https://www.wikidata.org/wiki/Q1406>,2,0.0016433853738701725,0.0024650780608052587,0.0838126540673788,0.6666666666666666,0.6666666666666666
<http://coxpress.sf.net/>,<https://www.wikidata.org/wiki/Q1406>,1,8.216926869350862e-4,8.216926869350862e-4,0.0838126540673788,1,1
<https://bioconductor.org/packages/hgu95av2>,<https://www.wikidata.org/wiki/Q1406>,1,8.216926869350862e-4,8.216926869350862e-4,0.0838126540673788,1,1
<https://bioconductor.org/packages/hu6800.db>,<https://www.wikidata.org/wiki/Q1406>,1,8.216926869350862e-4,8.216926869350862e-4,0.0838126540673788,1,1
<https://cran.r-project.org/package=gdata>,<https://www.wikidata.org/wiki/Q1406>,1,8.216926869350862e-4,8.216926869350862e-4,0.0838126540673788,1,1
<https://cran.r-project.org/package=gplots>,<https://www.wikidata.org/wiki/Q1406>,1,8.216926869350862e-4,0.0016433853738701725,0.0838126540673788,0.5,0.5
<https://cran.r-project.org/package=gtools>,<https://www.wikidata.org/wiki/Q1406>,1,8.216926869350862e-4,8.216926869350862e-4,0.0838126540673788,1,1
<https://cran.r-project.org/package=plotrix>,<https://www.wikidata.org/wiki/Q1406>,1,8.216926869350862e-4,8.216926869350862e-4,0.0838126540673788,1,1
<https://www.wikidata.org/wiki/Q206904>,<https://www.wikidata.org/wiki/Q1406>,4,0.003286770747740345,0.07641741988496302,0.0838126540673788,0.043010752688172046,0.043010752688172046
<https://www.wikidata.org/wiki/Q1204300>,<https://www.wikidata.org/wiki/Q1406>,4,0.003286770747740345,0.1865242399342646,0.0838126540673788,0.017621145374449337,0.017621145374449337
<https://www.wikidata.org/wiki/Q251>,<https://www.wikidata.org/wiki/Q1406>,2,0.0016433853738701725,0.013968775677896467,0.0838126540673788,0.1176470588235294,0.1176470588235294
<https://www.wikidata.org/wiki/Q2003932>,<https://www.wikidata.org/wiki/Q1406>,6,0.0049301561216105174,0.10024650780608052,0.0838126540673788,0.04918032786885246,0.04918032786885246
<https://www.wikidata.org/wiki/Q181596>,<https://www.wikidata.org/wiki/Q1406>,64,0.05258833196384552,0.3245686113393591,0.0838126540673788,0.16202531645569618,0.16202531645569618
<https://www.wikidata.org/wiki/Q513297>,<https://www.wikidata.org/wiki/Q1406>,1,8.216926869350862e-4,0.007395234182415777,0.0838126540673788,0.1111111111111111,0.1111111111111111
<http://webs.uvigo.es/acraaj/GenomePop.htm>,<https://www.wikidata.org/wiki/Q1406>,1,8.216926869350862e-4,8.216926869350862e-4,0.0838126540673788,1,1
